,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
0,Nikolaj Ehlers,27.0,LW,46,16,19,35,19,21,16,0,0,5,16,3,0,141,11.3,756.0,16:25,2.8,1.5,4.3,17,16,3,8,27.3,6-0,172,L/-,8,6500000.0,WPG
1,Josh Morrissey,28.0,D,46,7,26,33,22,32,6,1,0,1,19,7,0,118,5.9,1112.0,24:10,2.5,3.8,6.3,67,37,0,0,,6-0,195,L/-,8,,WPG
2,Cole Perfetti,22.0,C,46,14,16,30,13,8,9,5,0,2,10,6,0,102,13.7,662.0,14:24,2.4,1.2,3.6,13,8,35,62,36.1,5-11,177,L/-,2,832500.0,WPG
3,Kyle Connor,27.0,LW,30,18,11,29,-5,2,15,3,0,5,4,7,0,121,14.9,606.0,20:12,2.9,0.4,3.3,10,4,1,3,25.0,6-1,182,L/-,7,7500000.0,WPG
4,Nino Niederreiter,31.0,RW,46,12,13,25,12,20,9,3,0,2,12,1,0,102,11.8,708.0,15:24,1.6,1.2,2.8,24,61,16,15,51.6,6-2,218,L/-,12,4000000.0,WPG
5,Vladislav Namestnikov,31.0,C,43,6,19,25,18,8,3,2,1,0,18,1,0,57,10.5,673.0,15:39,1.1,1.4,2.5,26,37,136,228,37.4,6-0,179,L/-,10,2000000.0,WPG
6,Adam Lowry,30.0,LW,46,8,15,23,11,40,7,0,1,1,13,1,1,66,12.1,760.0,16:32,0.9,1.2,2.1,42,88,407,408,49.9,6-5,210,L/-,9,4500000.0,WPG
7,Mason Appleton,28.0,C,46,8,14,22,10,16,7,0,1,2,13,0,1,66,12.1,754.0,16:24,0.8,1.2,2.0,28,41,4,3,57.1,6-2,193,R/-,5,2250000.0,WPG
8,Gabriel Vilardi,24.0,C,26,11,9,20,18,6,9,2,0,3,8,1,0,70,15.7,442.0,16:59,1.8,1.1,2.9,13,6,22,24,47.8,6-3,215,R/-,4,3275000.0,WPG
9,Neal Pionk,28.0,D,46,4,14,18,10,34,3,1,0,0,11,3,0,84,4.8,950.0,20:39,0.9,2.6,3.6,57,109,0,0,,6-0,186,R/-,6,7500000.0,WPG
10,Alex Iafallo,30.0,C,46,7,10,17,3,2,5,2,0,1,6,3,1,81,8.6,762.0,16:33,0.2,0.9,1.1,42,18,6,11,35.3,6-0,200,L/-,6,4400000.0,WPG
11,Brenden Dillon,33.0,D,46,6,9,15,16,60,6,0,0,2,9,0,0,46,13.0,867.0,18:51,1.0,2.9,3.8,66,114,0,0,,6-4,220,L/-,12,2000000.0,WPG
12,Dylan DeMelo,30.0,D,46,1,14,15,28,26,1,0,0,0,13,1,0,43,2.3,1002.0,21:47,0.3,4.0,4.3,81,82,0,0,,6-0,191,R/-,8,3500000.0,WPG
13,Morgan Barron,25.0,C,46,8,4,12,9,10,8,0,0,1,3,1,0,61,13.1,509.0,11:04,0.5,0.9,1.4,30,42,15,25,37.5,6-4,220,L/-,3,1300000.0,WPG
14,Dylan Samberg,25.0,D,46,0,12,12,14,33,0,0,0,0,11,0,1,44,0.0,693.0,15:04,0.3,2.4,2.7,68,27,0,0,,6-3,190,L/-,2,1300000.0,WPG
15,Nate Schmidt,32.0,D,40,1,6,7,4,6,1,0,0,1,3,3,0,45,2.2,677.0,16:55,-0.1,1.6,1.6,51,32,0,0,,6-0,194,L/-,10,4950000.0,WPG
16,Axel Jonsson-Fjallby,25.0,LW,26,2,3,5,6,0,2,0,0,1,3,0,0,23,8.7,211.0,8:07,0.1,0.4,0.5,7,28,1,1,50.0,6-1,189,L/-,2,775000.0,WPG
17,Dominic Toninato,29.0,C,14,1,4,5,7,6,1,0,0,1,4,0,0,12,8.3,146.0,10:24,0.2,0.4,0.6,8,22,51,53,49.0,6-2,201,L/-,6,775000.0,WPG
18,Declan Chisholm,24.0,D,2,0,1,1,1,0,0,0,0,0,1,0,0,0,,23.0,11:33,0.1,0.1,0.2,2,0,0,0,,6-1,190,L/-,1,775000.0,WPG
19,Rasmus Kupari,23.0,C,20,0,1,1,-4,4,0,0,0,0,1,0,0,26,0.0,186.0,9:17,-0.4,0.0,-0.4,7,13,62,73,45.9,6-2,200,R/-,3,900000.0,WPG
20,Laurent Brossoit,30.0,G,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,724.0,60:20,0.0,0.0,2.8,0,0,0,0,,6-3,204,-/L,9,1750000.0,WPG
21,Connor Hellebuyck,30.0,G,34,0,0,0,0,2,0,0,0,0,0,0,0,0,,2044.0,60:07,0.0,0.0,7.9,0,0,0,0,,6-4,207,-/L,8,7500000.0,WPG
22,Logan Stanley,25.0,D,7,0,0,0,1,4,0,0,0,0,0,0,0,5,0.0,86.0,12:19,-0.1,0.2,0.1,9,7,0,0,,6-7,228,L/-,3,1000000.0,WPG
0,Nathan MacKinnon,28.0,C,49,31,53,84,17,30,24,7,0,7,28,25,0,224,13.8,1126.0,22:59,8.0,1.7,9.6,43,33,369,414,47.1,6-0,200,R/-,10,775000.0,COL
1,Mikko Rantanen,27.0,RW,49,27,39,66,6,24,17,10,0,5,19,20,0,166,16.3,1133.0,23:07,5.8,1.3,7.1,31,27,161,149,51.9,6-4,215,L/-,8,9500000.0,COL
2,Cale Makar,25.0,D,44,12,46,58,12,12,6,5,1,0,21,22,3,137,8.8,1097.0,24:56,5.4,2.7,8.1,82,22,0,0,,5-11,187,R/-,4,11000000.0,COL
3,Devon Toews,29.0,D,49,8,21,29,15,12,8,0,0,1,14,5,2,88,9.1,1181.0,24:06,2.1,3.0,5.1,77,40,0,0,,6-1,191,L/-,5,5900000.0,COL
4,Jonathan Drouin,28.0,LW,47,10,18,28,0,18,6,4,0,0,11,7,0,66,15.2,806.0,17:09,1.4,0.7,2.2,18,25,19,18,51.4,5-11,198,L/-,9,825000.0,COL
5,Ross Colton,27.0,C,47,10,16,26,2,45,8,2,0,1,14,2,0,87,11.5,650.0,13:50,1.7,0.7,2.3,26,64,250,228,52.3,6-0,194,L/-,3,4100000.0,COL
6,Logan O'Connor,27.0,RW,47,13,11,24,17,30,10,0,3,4,11,0,0,72,18.1,699.0,14:53,1.6,1.3,2.9,34,36,23,28,45.1,6-0,175,R/-,5,1000000.0,COL
7,Ryan Johansen,31.0,C,49,11,7,18,-6,32,7,4,0,3,4,2,1,62,17.7,681.0,13:54,0.9,0.4,1.3,11,32,363,305,54.3,6-3,218,R/-,12,4000000.0,COL
8,Miles Wood,28.0,LW,44,8,10,18,4,59,7,0,1,1,10,0,0,91,8.8,588.0,13:21,0.9,0.7,1.6,20,49,8,17,32.0,6-2,195,L/-,8,3250000.0,COL
9,Josh Manson,32.0,D,44,6,11,17,5,54,5,0,1,0,10,0,1,68,8.8,775.0,17:37,1.3,1.6,2.9,66,104,0,1,0.0,6-3,218,R/-,9,5000000.0,COL
10,Andrew Cogliano,36.0,LW,43,4,9,13,6,10,3,0,1,0,6,0,3,35,11.4,486.0,11:18,0.3,0.7,1.0,19,13,35,68,34.0,5-10,179,L/-,16,825000.0,COL
11,Bowen Byram,22.0,D,41,6,6,12,-3,34,6,0,0,0,6,0,0,50,12.0,831.0,20:16,0.7,1.2,1.9,58,45,0,0,,6-1,190,L/-,3,3080000.0,COL
12,Samuel Girard,25.0,D,28,1,11,12,0,2,1,0,0,0,10,1,0,32,3.1,560.0,19:59,0.6,0.9,1.5,57,33,0,0,,5-10,170,L/-,6,5000000.0,COL
13,Fredrik Olofsson,27.0,LW,47,3,6,9,-1,8,3,0,0,1,6,0,0,39,7.7,477.0,10:08,-0.2,0.4,0.2,25,30,138,214,39.2,6-2,190,L/-,1,775000.0,COL
14,Jack Johnson,37.0,D,48,2,7,9,6,34,2,0,0,0,7,0,0,50,4.0,711.0,14:49,0.2,1.6,1.8,61,36,0,0,,6-1,227,L/-,17,775000.0,COL
15,Artturi Lehkonen,28.0,LW,14,3,5,8,-2,2,2,1,0,0,2,3,0,38,7.9,254.0,18:10,0.4,0.2,0.5,5,16,4,8,33.3,5-11,179,L/-,7,5000000.0,COL
16,Joel Kiviranta,27.0,F,34,2,5,7,-4,8,2,0,0,0,5,0,0,36,5.6,356.0,10:28,-0.1,0.2,0.1,21,43,2,4,33.3,5-11,185,L/-,4,775000.0,COL
17,Caleb Jones,26.0,D,20,0,4,4,5,8,0,0,0,0,4,0,0,16,0.0,239.0,11:58,0.1,0.8,0.9,24,23,0,0,,6-1,194,L/-,5,775000.0,COL
18,Kurtis MacDermid,29.0,D,26,2,0,2,2,23,2,0,0,1,0,0,0,11,18.2,132.0,5:04,0.2,0.4,0.6,8,39,2,0,100.0,6-5,233,L/-,6,1000000.0,COL
19,Alexandar Georgiev,27.0,G,41,0,2,2,0,2,0,0,0,0,2,0,0,0,,2395.0,58:25,0.0,0.0,5.9,0,1,0,0,,6-1,178,-/R,6,3700000.0,COL
20,Ivan Prosvetov,24.0,G,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,494.0,44:56,0.0,0.0,1.2,0,0,0,0,,6-5,175,-/L,3,775000.0,COL
0,Jason Robertson,24.0,LW,48,17,32,49,11,16,12,5,0,1,20,12,0,144,11.8,873.0,18:12,3.9,1.2,5.1,18,31,0,0,,6-3,200,L/-,4,8000000.0,DAL
1,Roope Hintz,27.0,LW,46,22,24,46,19,12,14,5,3,5,15,8,1,109,20.2,788.0,17:08,4.4,1.4,5.8,17,12,181,147,55.2,6-3,215,L/-,5,7500000.0,DAL
2,Joe Pavelski,39.0,C,48,19,24,43,2,12,10,9,0,2,20,4,0,122,15.6,796.0,16:35,3.8,0.8,4.5,43,33,201,191,51.3,5-11,200,R/-,17,3500000.0,DAL
