,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Team,specific_pos,Cap%,Salary
10,Jimmy Vesey,30.0,LW,46.0,9.0,5.0,14.0,0.0,11.0,9.0,0.0,0.0,4.0,5.0,0.0,0.0,81.0,11.1,569.0,12:22,0.6,0.8,1.4,18.0,32.0,7.0,6.0,53.8,6-3,202.0,L/-,7.0,NYR,"RW, LW",1.0,800000.0
11,Braden Schneider,22.0,D,48.0,3.0,9.0,12.0,-5.0,12.0,3.0,0.0,0.0,1.0,9.0,0.0,0.0,47.0,6.4,713.0,14:52,0.5,1.5,2.0,66.0,65.0,0.0,0.0,,6-3,208.0,R/-,2.0,NYR,RD,1.1,925000.0
12,Jonny Brodzinski,30.0,C,29.0,1.0,8.0,9.0,-2.0,6.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,45.0,2.2,325.0,11:13,0.1,0.4,0.4,12.0,13.0,88.0,70.0,55.7,6-0,204.0,R/-,7.0,NYR,C,0.9,762500.0
13,Ryan Lindgren,25.0,D,47.0,2.0,5.0,7.0,5.0,24.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,45.0,4.4,908.0,19:20,-0.3,2.7,2.4,60.0,54.0,0.0,0.0,,6-0,190.0,L/-,5.0,NYR,LD,3.6,3000000.0
14,Kaapo Kakko,22.0,RW,27.0,4.0,1.0,5.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,33.0,12.1,365.0,13:30,-0.1,0.5,0.4,7.0,6.0,0.0,0.0,,6-2,206.0,L/-,4.0,NYR,RW,2.5,2100000.0
15,Barclay Goodrow,30.0,RW,46.0,1.0,4.0,5.0,-9.0,38.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,37.0,2.7,579.0,12:35,-1.0,0.5,-0.6,45.0,70.0,149.0,131.0,53.2,6-2,204.0,L/-,9.0,NYR,"C, LW",4.4,3641667.0
16,Tyler Pitlick,32.0,C,30.0,1.0,2.0,3.0,-4.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,30.0,3.3,303.0,10:06,-0.5,0.3,-0.2,11.0,58.0,2.0,14.0,12.5,6-2,200.0,R/-,9.0,NYR,RW,0.9,787500.0
17,Jake Leschyshyn,24.0,C,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,6:28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,5-11,198.0,L/-,2.0,NYR,C,0.9,766667.0
18,Jonathan Quick,38.0,G,16.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,927.0,57:56,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,6-1,220.0,-/L,16.0,NYR,G,1.0,825000.0
19,Igor Shesterkin,28.0,G,32.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1887.0,58:59,0.0,0.0,4.7,0.0,0.0,0.0,0.0,,6-1,189.0,-/L,4.0,NYR,G,6.8,5666667.0
20,Travis Konecny,26.0,C,49.0,22.0,20.0,42.0,13.0,42.0,15.0,2.0,5.0,2.0,18.0,2.0,0.0,162.0,13.6,964.0,19:41,3.6,1.8,5.4,14.0,33.0,16.0,31.0,34.0,5-10,192.0,R/-,7.0,PHI,"RW, LW",6.6,5500000.0
21,Joel Farabee,23.0,LW,49.0,17.0,23.0,40.0,8.0,29.0,15.0,2.0,0.0,2.0,19.0,4.0,0.0,115.0,14.8,785.0,16:02,3.4,1.3,4.8,41.0,26.0,19.0,26.0,42.2,6-0,183.0,L/-,4.0,PHI,"LW, RW",6.0,5000000.0
22,Sean Couturier,31.0,C,45.0,10.0,20.0,30.0,8.0,16.0,7.0,3.0,0.0,2.0,16.0,3.0,1.0,132.0,7.6,901.0,20:02,1.4,1.5,2.9,27.0,13.0,493.0,446.0,52.5,6-3,211.0,L/-,11.0,PHI,C,9.3,7750000.0
23,Cam Atkinson,34.0,RW,48.0,13.0,15.0,28.0,-16.0,20.0,11.0,2.0,0.0,3.0,11.0,4.0,0.0,149.0,8.7,829.0,17:16,1.7,0.5,2.3,29.0,10.0,8.0,10.0,44.4,5-8,176.0,R/-,11.0,PHI,"RW, LW",7.0,5875000.0
24,Travis Sanheim,27.0,D,48.0,4.0,22.0,26.0,-13.0,32.0,4.0,0.0,0.0,2.0,15.0,5.0,2.0,90.0,4.4,1160.0,24:09,1.5,2.0,3.5,81.0,35.0,0.0,0.0,,6-4,222.0,L/-,6.0,PHI,LD/RD,7.5,6250000.0
25,Morgan Frost,24.0,C,38.0,7.0,15.0,22.0,6.0,10.0,5.0,2.0,0.0,1.0,11.0,4.0,0.0,73.0,9.6,589.0,15:31,1.2,1.0,2.2,31.0,22.0,193.0,238.0,44.8,6-0,193.0,L/-,4.0,PHI,C,2.5,2100000.0
26,Scott Laughton,29.0,C,49.0,5.0,15.0,20.0,-7.0,40.0,4.0,0.0,1.0,0.0,10.0,1.0,4.0,106.0,4.7,755.0,15:25,0.4,0.8,1.1,29.0,71.0,284.0,288.0,49.7,6-1,190.0,L/-,10.0,PHI,"LW, C",3.6,3000000.0
27,Tyson Foerster,22.0,RW,48.0,7.0,11.0,18.0,2.0,22.0,4.0,3.0,0.0,0.0,8.0,3.0,0.0,101.0,6.9,818.0,17:02,0.2,1.2,1.4,34.0,37.0,0.0,1.0,0.0,6-2,203.0,R/-,1.0,PHI,"RW, C",1.0,863333.0
28,Sean Walker,29.0,D,49.0,5.0,12.0,17.0,6.0,26.0,3.0,0.0,2.0,1.0,10.0,1.0,1.0,83.0,6.0,964.0,19:41,1.0,2.9,3.8,69.0,53.0,0.0,0.0,,5-11,195.0,R/-,5.0,PHI,LD/RD,3.2,2650000.0
29,Ryan Poehling,25.0,C,44.0,5.0,9.0,14.0,-8.0,6.0,4.0,0.0,1.0,1.0,8.0,0.0,1.0,55.0,9.1,587.0,13:20,0.2,0.5,0.7,43.0,25.0,209.0,218.0,48.9,6-2,196.0,L/-,4.0,PHI,"C, LW",1.7,1400000.0
30,Nick Seeler,30.0,D,49.0,0.0,7.0,7.0,14.0,65.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,59.0,0.0,832.0,16:59,-0.3,3.1,2.8,138.0,65.0,0.0,0.0,,6-2,201.0,L/-,5.0,PHI,LD/RD,0.9,775000.0
31,Garnet Hathaway,32.0,RW,49.0,4.0,2.0,6.0,-13.0,72.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,47.0,8.5,556.0,11:20,-0.6,0.3,-0.3,38.0,120.0,13.0,6.0,68.4,6-3,208.0,R/-,8.0,PHI,"RW, LW",2.8,2375000.0
32,Noah Cates,24.0,LW,27.0,1.0,4.0,5.0,-6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,29.0,3.4,370.0,13:43,-0.4,0.3,-0.2,15.0,5.0,112.0,148.0,43.1,6-2,194.0,L/-,2.0,PHI,"C, LW",3.1,2625000.0
33,Rasmus Ristolainen,29.0,D,28.0,1.0,3.0,4.0,-6.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,43.0,2.3,466.0,16:39,-0.1,0.7,0.6,42.0,40.0,0.0,0.0,,6-4,221.0,R/-,10.0,PHI,RD,6.1,5100000.0
34,Jamie Drysdale,21.0,D,7.0,1.0,2.0,3.0,-2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,11.0,9.1,137.0,19:31,0.2,0.2,0.4,8.0,4.0,0.0,0.0,,5-11,183.0,R/-,3.0,PHI,RD,2.8,2300000.0
35,Nicolas Deslauriers,32.0,LW,44.0,0.0,3.0,3.0,-8.0,53.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,40.0,0.0,383.0,8:42,-0.8,0.2,-0.5,18.0,112.0,4.0,6.0,40.0,6-1,220.0,L/-,10.0,PHI,"LW, RW",2.1,1750000.0
36,Marc Staal,37.0,D,17.0,1.0,1.0,2.0,1.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,14.3,225.0,13:13,0.0,0.6,0.7,21.0,15.0,0.0,0.0,,6-4,208.0,L/-,16.0,PHI,LD,1.3,1100000.0
37,Samuel Ersson,24.0,G,24.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1389.0,57:51,0.0,0.0,3.3,0.0,0.0,0.0,0.0,,6-3,196.0,-/L,1.0,PHI,G,1.0,859167.0
38,Olle Lycksell,24.0,RW,3.0,0.0,0.0,0.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,31.0,10:19,-0.1,0.0,-0.1,0.0,0.0,0.0,2.0,0.0,5-10,163.0,L/-,1.0,PHI,RW,0.9,787500.0
39,Sebastian Aho,26.0,F,44.0,17.0,37.0,54.0,9.0,18.0,12.0,4.0,1.0,4.0,18.0,18.0,1.0,130.0,13.1,859.0,19:31,4.4,1.5,5.8,10.0,18.0,296.0,256.0,53.6,6-0,176.0,L/-,7.0,CAR,C,10.1,8460250.0
40,Sebastian Aho,26.0,F,44.0,17.0,37.0,54.0,9.0,18.0,12.0,4.0,1.0,4.0,18.0,18.0,1.0,130.0,13.1,859.0,19:31,4.4,1.5,5.8,10.0,18.0,296.0,256.0,53.6,6-0,176.0,L/-,7.0,CAR,LD,1.0,825000.0
41,Sebastian Aho,27.0,D,39.0,1.0,5.0,6.0,-13.0,6.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,36.0,2.8,633.0,16:14,-0.1,0.2,0.1,53.0,23.0,0.0,0.0,,5-10,186.0,L/-,4.0,NYI,C,10.1,8460250.0
42,Sebastian Aho,27.0,D,39.0,1.0,5.0,6.0,-13.0,6.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,36.0,2.8,633.0,16:14,-0.1,0.2,0.1,53.0,23.0,0.0,0.0,,5-10,186.0,L/-,4.0,NYI,LD,1.0,825000.0
43,Seth Jarvis,21.0,C,47.0,15.0,21.0,36.0,2.0,10.0,7.0,8.0,0.0,3.0,17.0,3.0,1.0,109.0,13.8,894.0,19:01,2.4,1.3,3.6,27.0,68.0,98.0,129.0,43.2,5-10,175.0,R/-,2.0,CAR,RW,1.1,894167.0
44,Michael Bunting,28.0,LW,46.0,10.0,21.0,31.0,-15.0,39.0,5.0,5.0,0.0,1.0,12.0,9.0,0.0,75.0,13.3,677.0,14:43,2.0,0.3,2.4,13.0,13.0,6.0,15.0,28.6,6-0,192.0,L/-,4.0,CAR,LW,5.4,4500000.0
45,Martin Necas,25.0,C,42.0,12.0,18.0,30.0,-13.0,26.0,9.0,3.0,0.0,2.0,13.0,5.0,0.0,111.0,10.8,739.0,17:36,2.0,0.5,2.5,17.0,37.0,32.0,64.0,33.3,6-2,189.0,R/-,6.0,CAR,RW,3.6,3000000.0
46,Andrei Svechnikov,23.0,RW,29.0,11.0,19.0,30.0,3.0,30.0,6.0,5.0,0.0,6.0,10.0,9.0,0.0,71.0,15.5,495.0,17:04,2.5,0.8,3.3,8.0,66.0,0.0,0.0,,6-2,195.0,L/-,5.0,CAR,"LW, RW",9.3,7750000.0
47,Teuvo Teravainen,29.0,F,47.0,16.0,13.0,29.0,4.0,4.0,8.0,7.0,1.0,3.0,8.0,4.0,1.0,90.0,17.8,798.0,16:58,2.1,1.2,3.3,15.0,8.0,60.0,63.0,48.8,5-11,191.0,L/-,10.0,CAR,"LW, RW",6.5,5400000.0
48,Stefan Noesen,30.0,RW,46.0,11.0,16.0,27.0,9.0,24.0,8.0,3.0,0.0,1.0,12.0,4.0,0.0,62.0,17.7,572.0,12:26,2.0,1.1,3.1,13.0,53.0,19.0,42.0,31.1,6-1,205.0,R/-,9.0,CAR,"LW, RW",0.9,762500.0
49,Brady Skjei,29.0,D,47.0,7.0,20.0,27.0,2.0,22.0,5.0,1.0,1.0,1.0,13.0,6.0,1.0,101.0,6.9,1003.0,21:20,2.0,2.5,4.5,50.0,28.0,0.0,0.0,,6-3,210.0,L/-,8.0,CAR,LD,6.3,5250000.0
50,Brent Burns,38.0,D,47.0,8.0,18.0,26.0,14.0,14.0,4.0,3.0,1.0,0.0,9.0,9.0,0.0,117.0,6.8,1014.0,21:34,2.0,3.4,5.4,38.0,14.0,0.0,0.0,,6-5,230.0,R/-,19.0,CAR,RD,6.3,5280000.0
51,Jack Drury,23.0,C,47.0,8.0,13.0,21.0,4.0,16.0,6.0,2.0,0.0,0.0,9.0,4.0,0.0,60.0,13.3,539.0,11:28,1.3,0.9,2.1,17.0,15.0,221.0,190.0,53.8,5-11,174.0,L/-,2.0,CAR,C,1.1,925000.0
52,Jaccob Slavin,29.0,D,47.0,4.0,16.0,20.0,11.0,6.0,2.0,0.0,2.0,0.0,15.0,0.0,1.0,91.0,4.4,984.0,20:56,1.1,3.1,4.2,73.0,22.0,0.0,0.0,,6-3,207.0,L/-,8.0,CAR,LD,6.3,5300000.0
53,Jesperi Kotkaniemi,23.0,C,47.0,9.0,9.0,18.0,-11.0,28.0,8.0,1.0,0.0,0.0,7.0,1.0,1.0,91.0,9.9,677.0,14:24,0.7,0.5,1.2,24.0,26.0,223.0,228.0,49.4,6-2,201.0,L/-,5.0,CAR,C,5.8,4820000.0
54,Jordan Martinook,31.0,LW,47.0,7.0,9.0,16.0,-1.0,18.0,7.0,0.0,0.0,1.0,9.0,0.0,0.0,92.0,7.6,701.0,14:55,0.2,0.9,1.1,17.0,29.0,28.0,18.0,60.9,6-0,196.0,L/-,9.0,CAR,"LW, RW",2.2,1800000.0
55,Dmitry Orlov,32.0,D,47.0,2.0,14.0,16.0,-8.0,28.0,1.0,0.0,1.0,0.0,11.0,3.0,0.0,74.0,2.7,781.0,16:37,0.7,1.3,2.0,31.0,49.0,0.0,0.0,,5-11,214.0,L/-,11.0,CAR,LD,9.3,7750000.0
56,Jordan Staal,35.0,C,47.0,6.0,9.0,15.0,-13.0,26.0,6.0,0.0,0.0,2.0,7.0,1.0,1.0,76.0,7.9,740.0,15:45,-0.1,0.5,0.5,24.0,65.0,475.0,358.0,57.0,6-4,220.0,L/-,17.0,CAR,"C, LW",3.5,2900000.0
57,Jalen Chatfield,27.0,D,42.0,4.0,8.0,12.0,-1.0,12.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,54.0,7.4,626.0,14:54,0.7,1.4,2.2,41.0,27.0,0.0,0.0,,6-1,188.0,R/-,3.0,CAR,RD,0.9,762500.0
58,Jesper Fast,32.0,RW,44.0,4.0,7.0,11.0,-2.0,8.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,48.0,8.3,573.0,13:01,-0.2,0.7,0.5,14.0,32.0,4.0,4.0,50.0,6-1,191.0,R/-,10.0,CAR,RW,2.9,2400000.0
59,Tony DeAngelo,28.0,D,21.0,2.0,7.0,9.0,-11.0,14.0,0.0,2.0,0.0,0.0,3.0,4.0,0.0,33.0,6.1,299.0,14:15,0.7,-0.1,0.6,9.0,2.0,0.0,0.0,,5-11,180.0,R/-,7.0,CAR,,,
60,Brett Pesce,29.0,D,39.0,3.0,4.0,7.0,-3.0,10.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,57.0,5.3,791.0,20:17,0.0,1.7,1.6,68.0,12.0,0.0,0.0,,6-3,206.0,R/-,8.0,CAR,RD,4.8,4025000.0
61,Brendan Lemieux,27.0,LW,20.0,2.0,1.0,3.0,-2.0,40.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,13.3,152.0,7:36,0.1,0.1,0.2,2.0,30.0,4.0,7.0,36.4,6-1,215.0,L/-,6.0,CAR,"LW, RW",1.0,800000.0
62,Pyotr Kochetkov,24.0,G,23.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1256.0,54:37,0.0,0.0,2.9,0.0,0.0,0.0,0.0,,6-3,205.0,-/L,2.0,CAR,G,2.4,2000000.0
63,Spencer Martin,28.0,G,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,60.0,60:00,0.0,0.0,0.2,0.0,0.0,0.0,0.0,,6-3,191.0,-/L,3.0,CAR,G,0.9,762500.0
64,Antti Raanta,34.0,G,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1185.0,53:52,0.0,0.0,1.1,0.0,0.0,0.0,0.0,,6-0,195.0,-/L,10.0,CAR,G,1.8,1500000.0
65,Sidney Crosby,36.0,C,45.0,27.0,22.0,49.0,19.0,24.0,21.0,6.0,0.0,3.0,18.0,4.0,0.0,166.0,16.3,914.0,20:19,4.8,1.7,6.5,22.0,47.0,617.0,430.0,58.9,5-11,200.0,L/-,18.0,PIT,C,10.4,8700000.0
66,Jake Guentzel,29.0,C,45.0,21.0,27.0,48.0,12.0,14.0,17.0,4.0,0.0,2.0,20.0,7.0,0.0,167.0,12.6,945.0,21:00,4.1,1.5,5.5,18.0,29.0,4.0,12.0,25.0,5-11,180.0,L/-,7.0,PIT,"LW, RW",7.2,6000000.0
67,Evgeni Malkin,37.0,C,45.0,16.0,23.0,39.0,1.0,40.0,13.0,3.0,0.0,2.0,14.0,9.0,0.0,123.0,13.0,856.0,19:01,3.0,1.0,3.9,22.0,10.0,218.0,222.0,49.5,6-3,195.0,L/-,17.0,PIT,C,7.3,6100000.0
68,Erik Karlsson,33.0,D,45.0,7.0,27.0,34.0,9.0,24.0,5.0,2.0,0.0,2.0,19.0,8.0,0.0,107.0,6.5,1097.0,24:23,2.6,3.0,5.6,47.0,18.0,0.0,0.0,,6-0,190.0,R/-,14.0,PIT,RD,12.0,10000000.0
69,Kris Letang,36.0,D,45.0,3.0,26.0,29.0,14.0,44.0,3.0,0.0,0.0,0.0,24.0,2.0,0.0,91.0,3.3,1116.0,24:48,1.7,3.4,5.1,75.0,78.0,0.0,0.0,,6-0,201.0,R/-,17.0,PIT,RD,7.3,6100000.0
70,Bryan Rust,31.0,RW,32.0,11.0,16.0,27.0,15.0,8.0,11.0,0.0,0.0,1.0,15.0,1.0,0.0,98.0,11.2,605.0,18:54,2.0,1.2,3.2,23.0,24.0,1.0,2.0,33.3,5-11,192.0,R/-,9.0,PIT,"RW, LW",6.1,5125000.0
71,Reilly Smith,32.0,RW,40.0,8.0,12.0,20.0,-1.0,6.0,7.0,1.0,0.0,1.0,7.0,5.0,0.0,80.0,10.0,649.0,16:14,0.9,0.7,1.6,10.0,21.0,3.0,6.0,33.3,6-1,185.0,L/-,12.0,PIT,"LW, RW",6.0,5000000.0
72,Marcus Pettersson,27.0,D,45.0,1.0,16.0,17.0,18.0,24.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,57.0,1.8,1016.0,22:35,0.5,3.5,3.9,81.0,49.0,0.0,0.0,,6-3,177.0,L/-,6.0,PIT,LD,4.8,4025175.0
73,Rickard Rakell,30.0,RW,33.0,5.0,11.0,16.0,-1.0,4.0,3.0,2.0,0.0,1.0,9.0,2.0,0.0,82.0,6.1,568.0,17:12,0.5,0.6,1.0,21.0,41.0,3.0,7.0,30.0,6-1,195.0,R/-,11.0,PIT,"RW, LW",6.0,5000000.0
74,Drew O'Connor,25.0,F,45.0,6.0,9.0,15.0,8.0,12.0,6.0,0.0,0.0,1.0,8.0,0.0,1.0,84.0,7.1,663.0,14:44,0.2,1.0,1.2,24.0,25.0,14.0,13.0,51.9,6-3,200.0,L/-,3.0,PIT,LW,1.1,925000.0
75,Lars Eller,34.0,C,45.0,8.0,6.0,14.0,1.0,16.0,6.0,1.0,1.0,0.0,6.0,0.0,0.0,88.0,9.1,672.0,14:57,0.3,0.8,1.0,29.0,28.0,262.0,233.0,52.9,6-2,205.0,L/-,14.0,PIT,C,2.9,2450000.0
76,Ryan Graves,28.0,D,45.0,3.0,5.0,8.0,11.0,20.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,53.0,5.7,867.0,19:17,0.0,2.6,2.6,88.0,37.0,0.0,0.0,,6-5,220.0,L/-,5.0,PIT,LD,5.4,4500000.0
77,Jeff Carter,39.0,C,39.0,5.0,2.0,7.0,-3.0,10.0,3.0,1.0,1.0,3.0,2.0,0.0,0.0,48.0,10.4,454.0,11:39,-0.1,0.4,0.3,19.0,33.0,103.0,59.0,63.6,6-3,219.0,R/-,18.0,PIT,"RW, C",3.7,3125000.0
78,Valtteri Puustinen,24.0,RW,20.0,1.0,6.0,7.0,3.0,4.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,33.0,3.0,219.0,10:57,0.2,0.3,0.5,12.0,8.0,1.0,2.0,33.3,5-9,183.0,R/-,1.0,PIT,"RW, LW",0.9,775000.0
79,Noel Acciari,32.0,C,37.0,3.0,1.0,4.0,1.0,8.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,43.0,7.0,480.0,12:58,-0.7,0.6,-0.1,57.0,73.0,218.0,174.0,55.6,5-10,209.0,R/-,8.0,PIT,"C, RW",2.4,2000000.0
80,Jansen Harkins,26.0,C,30.0,0.0,4.0,4.0,-3.0,14.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,28.0,0.0,260.0,8:39,-0.3,0.2,-0.2,9.0,42.0,2.0,0.0,100.0,6-2,197.0,L/-,4.0,PIT,LW,1.0,850000.0
81,Pierre-Olivier Joseph,24.0,D,18.0,0.0,3.0,3.0,-4.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,0.0,244.0,13:34,0.0,0.2,0.2,12.0,14.0,0.0,0.0,,6-2,185.0,L/-,3.0,PIT,LD,1.0,825000.0
82,Chad Ruhwedel,33.0,D,31.0,1.0,1.0,2.0,-2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,5.0,382.0,12:20,-0.2,0.7,0.5,24.0,42.0,0.0,0.0,,5-11,191.0,R/-,11.0,PIT,RD,1.0,800000.0
83,Tristan Jarry,28.0,G,31.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.3,1690.0,54:31,0.0,0.0,5.6,0.0,0.0,0.0,0.0,,6-2,194.0,-/L,7.0,PIT,G,6.4,5375000.0
84,Alex Nedeljkovic,28.0,G,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,899.0,56:11,0.0,0.0,3.4,0.0,0.0,0.0,0.0,,6-0,189.0,-/L,6.0,PIT,G,1.8,1500000.0
85,Ryan Shea,26.0,D,22.0,0.0,0.0,0.0,-2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,274.0,12:28,-0.3,0.4,0.1,14.0,13.0,0.0,0.0,,6-2,200.0,L/-,0.0,PIT,LD,0.9,775000.0
86,Colin White,27.0,C,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,35.0,8:52,-0.1,0.1,0.0,2.0,4.0,4.0,3.0,57.1,6-1,194.0,R/-,7.0,PIT,"RW, C",0.9,775000.0
87,Dylan Strome,26.0,C,46.0,18.0,12.0,30.0,-6.0,10.0,13.0,5.0,0.0,3.0,8.0,4.0,0.0,94.0,19.1,802.0,17:26,2.4,0.9,3.3,33.0,5.0,353.0,326.0,52.0,6-3,200.0,L/-,7.0,WSH,C,6.0,5000000.0
88,Alex Ovechkin,38.0,LW,43.0,8.0,21.0,29.0,-15.0,12.0,5.0,3.0,0.0,2.0,12.0,9.0,0.0,147.0,5.4,831.0,19:20,1.2,0.6,1.8,9.0,71.0,0.0,2.0,0.0,6-3,238.0,R/-,18.0,WSH,LW,11.4,9500000.0
89,John Carlson,34.0,D,46.0,3.0,24.0,27.0,-1.0,18.0,2.0,1.0,0.0,1.0,15.0,9.0,0.0,101.0,3.0,1182.0,25:42,1.4,3.2,4.6,102.0,23.0,0.0,0.0,,6-3,215.0,R/-,14.0,WSH,RD,9.6,8000000.0
90,Anthony Mantha,29.0,RW,42.0,14.0,7.0,21.0,4.0,6.0,13.0,1.0,0.0,0.0,4.0,3.0,0.0,75.0,18.7,584.0,13:55,1.7,0.9,2.7,14.0,19.0,2.0,5.0,28.6,6-5,234.0,L/-,8.0,WSH,"LW, RW",6.8,5700000.0
